victim
Abe, Gerry Caballero
Mendiola, Romulo Orbeta
Milan, Rodolfo Contreras
Millares, Benjamin Galgana
Morales, Rolando Alvarez
Nalla, Primitiva Japson
Ocampo, Saturnino Cunanan
Olan, Daniel Lim
Olayer, Joseph Valente
Oliveron, Luis Lastimado
Oliveron, Pacito Mercadez
Oliveros, Teresita Galang
Omoso, Luz Vilma Riopay
Osias, Roel Dosdos
Pajanustan, Trinidad Managbanag
Palma, Charlie Revilla
Palmes, Percival Libradilla
Paquera, Rolando Tabanao
Patricio, Norman Garcia
Pelaez Jr., Fortunato Alobin
Perez, Marcelina Rapada
Piamonte, Bonifacio Milar
Pimentel, Bonifacio Aping
Piring, Rodolfo Garung
Ponce De Leon, Guillermo Pechon
Pond, Amelia Bato
Queano Nur, Potrirankamanis .
Quiachon, Joseph Socorro
Quilantang, Anacorita Ybañez
Rabanillo, Leumas Baltazar
Ramos, Allan Villano
Ramos, Virgilio Cadungag
Regalario, Jaime Ribaya
Rivera, Cecilia Estandarte
Roberto , Felicisimo  Castillo
Roble, Crescencio Poblete
Rosales Jr., Alfredo Bernales
Saluna, Dominador Mangubat
Salvador, Lenville Caday
Samson, Juanito Cruz
Santos, Pablito Manaquil
Senajon, Renato Mercaderos
Serrano, Isagani Rodriguez
Sibayan, Segundina Mila Libangan
Sibayan, Wilfredo Velasco
Socco Jr., Gerardo Jacob
Sto Domingo, Rolando Testor
Suñga, Roberto Baltazar
Tabilon, Roberto Aliason
Tallo Jr., Santos Bueno
Tan, Willie Gawat
Tarectecan, Domingo Reyes
Tayzon, Ramon Lopez
Teng, Armando Enriquez
Timogtimog, Rebecca Jolito
Tiongson, Nemencio Pangan
Tizon, Agerico Maria
Tizon, Jaime Gagbo
Trinidad, Purificacion Tongol
Tujan Jr., Antonio Alesna
Umadhay, James Allado
Umali, Albert Dy
Umali, Emmanuel Gaerlan
Vargas, Edward Rebollosa
Velasco, Dante Lapada
Veluz, Ramon Serrano
Venus, Maria Cecilia Castro
Verzola, Roberto Sevilla
Vicente, Rogelio Malines
Vinuya, Cesar Abulencia
Ybañez, Hilario Paclaona
Zambrano, Cenon Estrella
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
