victim
Abad, Francis Dela Cerna
Bartolome, Sergio Lucas
Basilio, Silver Barid
Baskiñas, Rafael Evergisto Dimen
Batacan , Esmeraldo  Tolentino
Batisan, Danilo Garcia
Battawang, Berdelita Sagaoc
Batula, Romeo Hagnaya
Bautista Jr., Eduardo Cerrado
Bautista, Apolinario Sandoval
Baylon Jr., Apolonio Bote
Bedonia Jr., Alfonso Bedonia
Belen, Victor De Mesa
Belinario , Federico  Magluyan
Beltran, Crispin Bertiz
Beltran, Roberto Lagumen
Ben, Mario Flores
Benosa, Rodolfo Gomez
Bernardo, Reynaldo Reyes
Bilang, Seveliano Tipay
Birad, Laudivico Sasuman
Birondo, Philipp Jude Kintanar
Bismar, Zosimo Calderon
Bitanga, Alfonso Saganid
Blando, Maria Wedita Noya
Boadilla, Ernesto Boac
Bobonao, Iñego Dagumay
Bolante , Jose Noneto  Bermejo
Boliver, Alexander Barredo
Bondoc, Jarius Ymzon
Bontia Jr., Ildefonso Villamor
Boragay, Antonio Salamoding
Borja, David  Sabaduquia
Borja, Federico Banas
Borja, Fernando Dizon
Borja, Pablito Banas
Borneo, Michel Allegado
Bornilla Jr., Toribio Brimbuela
Boyles, Gerundio Arapan
Bravo, Portia Aldon
Bringas, John Bodaño
Briones, Jose Magat
Buan Sr, Diosdado Bacani
Buella, Rogelio Burce
Buenaobra, Elizabeth Docot
Buenaventura, Apolonia Pili
Buenaventura, Edgardo Marcos
Buenavidez, Romeo Obedencio
Bueza, Rodolfo Gratil
Bugnot, Manuel Aquino
Bugtong, Jose Oria
Bulac, Adolfo Ruedas
Bulan, Alfredo Laddit
Bulatao, Victor Gerardo Jayme
Bunda Jr., Nicolas Distor
Bunda, Perla Porciuncula
Bundal, Quirino Camo
Bundang Jr., Florito Birco
Burce, Freddie Borbe
Burgos Jr., Benjamin Antonio
Burgos, Jose Jr. Gacusana
Burgos, Teodoro Gacusana
Buscano Jr., Luciano Enriquez
Butac, Alex Bustria
Cabacungan, Ernesto Asiddaw
Cabacungan, Leticia Labitoria
Cabales, Ernesto Buenavista
Cabaljao, Clodualdo Abanag
Caballeda, Edgar Orgulloso
Caballero, Virgilio De Guzman
Cabaña, Marcelo Palma
Cabanatan, Bernardo Salamada
Cabangal, Norman Castillo
Cabangunay, Cecilio Gabejan
Cabangunay, Virginia Dacutan
Cabaraban, Melencio Ramos
Cabardo, Jorge Lentejas
Cabardo, Paulo Maravillas
Cabardo, Rosario Nabong
Cabarles Jr., Cresencio Amar
Cabarles, Benjamin Beldad
Cabarles, Marcelo Gabane
Cabarles, Sergio Rosales
Cabatuan , Eugenio Berbes
Cabatuando, Imelda Abes
Caboral, Ramon  Abaigar
Cabornay, Pastor Cabigayan
Cabral, Pedro Herbolario
Cabrera, Domingo Abion
Cabrera, Herminigildo Fabros
Cabrera, Rafael Mariñas
Cabrera, Rogelio  Rejano
Cabrino, Petronilo Nicart
Cadagdagon, Alfredo Camiging
Cadiz, Bruno Salarda
Cagbabanua, Benido Palpagan
Cahigas, Joveniano Perez
Cajes, Viña Atay
Cajiuat, Toribio Castro
Cala III, Jose Orillo
Calamaya, Romeo Mosca
Calamba, Ariston Godito
Calamba, Danilo Salang
Calaycay, Ruben Ramos
Calderon, Derwin Lopez
Calderon, Rebecca Cirunay
Calim, Domingo Amigo
Calimoso, Elorde Angeles
Calizo Jr., Manuel Santia
Calizo, Gil Santia
Calleja, Mariano Rutaquio
Caloza, Leopoldo Navarro
Calubid, Julio Remonoque
Calumba, Samson Garciano
Camaño, Emilio Mancol
Cambronero  Jr., Luis Pablo
Camello, Alejandro Sarona
Camillo, Religioso Sarona
Caminade, Carlito Cabales
Campanan, Azela Farrol
Campos, Diosdado Garjas
Candazo, Romeo Dela Cruz
Candontol, Jacinto Gatab
Cani, Elogie Ambalong
Canonigo, Marianito Sangabol
Cantada, Romeo Sapitanan
Cantos, Moises Moscare
Cantotay, Romulo Samson
Caongca, Paquito Eslao
Capasgordo, Jessie Amorsolo
Capin, Rufino Camanse
Carandang, Maribel Orfanel
Cardenas, Eusebio Canteras
Cardenas, Marcelino Ventura
Carganilla, Calixto Rosero
Carilimdiliman, Eduardo Wita
Cariño, Joanna Kintanar
Cariño, Jocelyn Kintanar
Carlos, Avelina Enrile
Carlos, Caesar Nebriaga
Carlos, Delfin Cruz
Carmen, Eugenio Andres
Carno, Renato Gemong
Casas, Eustazio Jiva
Casas, Lyndon Torlao
Caser , Juanito  Banaybanay
Caser, Roger Climaco
Casiple, Elmer Caballero
Casiple, Ramon Casiple
Castaneda, Ramon Enrile
Castaño III, Joaquin Enego
Castigador, Alex Concepcion
Castillo, Cesar  Ringor
Castillo, Orlando Garduque
Castillo, Romeo Ringor
Castor, Flor Diaz
Castor, Florencio Caro
Castor, Francisco Castor
Castro, Cesar Tanchico
Castro, Nestor Tanchico
Casue, Evaristo Managuelod
Catalan, Carlos Alohipan
Cedicol, Leonilo Langbid
Celestino, Jeremias Pioquinto
Celino, Enrique Felipe
Cellano Jr., Jesus Magbiro
Cellano, Josefino Magbiro
Cenita, Augusto Arcilla
Cerdenia, Henry Borjal
Chan, Bendix Lee
Ching, Carlos Adraque
Chiongson, Manuel Sale
Cimatu, Primo Pascua
Cinco, Francisco Abarca
Cinco, Gaudencio A
Cinco, May Rendon
Claro, Lilia Ocampo
Clemente Jr., Vicente Llorca
Clemente, Edgardo Navarrete
Clemente, Rhodora Julian
Cleto, Federico Bartolome
Cobing, Wilson Delos Reyes
Cobol, Santiago Villegas
Cocoba, Jose Capaque
Coligado , Arsenio Cometa
Colmenares, Neri Javier
Conception, Eduardo Enrequis
Consolacion, Estrella Adangas
Cordero, Antonio Piñon
Cordero, Jaime Estepa
Cordero, Leopoldo Acaja
Cornejo, Armando Leyesa
Coronacion, Danilo Nacy
Coronel, Alberto Bernaldo
Coronel, Florendo Lumawag
Coronel, Laurentino Lumawag
Corpuz, Elizer Cabildo
Corpuz, Virgilio Bayani
Corrales, Roberto Cachola
Correche, Reynaldo Cabrido
Cortes, Mariquit Rivera
Cortes, Renato Dolfo
Cortez, Mero Bansalao
Crabajales, Constantino Donio
Cruz Jr., Bonifacio Francisco
Cruz, Cecilio Guevara
Cruz, Nelson Lazaro
Cruz, Ruth Santos
Cua , Pelagio  Cruda
Cua Jr., Melecio Cruda
Cua, Florencio Cruda
Cualbar, Arnolfo Coniendo
Cubacub, Joni Regala
Cutab , Fernando  Aguilar
Cutanda, Rustico Clamucha
Cutin, Edwin Quezon
Dabandan, Donoteo Abalos
Dacles, Roberto Gabrino
Dacoliat, Welibrordo Docado
Dacuro, Carlito Sablayan
Daez, Lope Origen
Dagami, Ismael Peñero
Dagohoy, Manuel Sayson
Daguil, Rosario Casas
Damalerio, Fernando Enoy
Damalerio, Melchor Enoy
Dansalan, Celestino Ventura
Dante, Rosario Manlolo
Dantes Jr., Ricardo Dela Rosa
Datario, Cornelio Sipucot
Datario, Luis Olanda
Datu, Dante Matic
Datu, Jaime Pastrana
Daumar, Perla Judith Somonod
Dausen, Pablo Fasakey
David, Luzvimindo Timbang
Dayag, Hilarion Mamalis
De Aro, Alfredo Cabacungan
De Castro, Elizabeth Protacio
De Guia, Victoria Uy
De Guzman  Jr., Pedro  Montañes
De Guzman, Eduardo Cacho
De Guzman, Rodrigo Salonga
De La Peña, Damaso Dasquete
De La Rosa, Romulo Jagape
De Las Alas, Rafael Madlangbayan
De Leon, Demetrio Valeza
De Luna, Ronaldo Gonzales
De Mesa, Efren Agapay
De Mesa, Onofre Comeda
De Vera, Beatriz Asis
De Vera, Benjamin Quintua
De Vera, Benjamin Roque
Decang, Benito Baldomero
Deduro, Cynthia Aguirre
Deiparine, Arthur Gica
Del Prado, Ronaldo Bolaño
Del Rosario, Manuel Bernardo
Dela Cerna, Zosimo Bagano
Dela Cruz, Abner Guinto
Dela Cruz, Aquilino Dela Cruz
Dela Cruz, Damaso Santiago
Dela Cruz, Eliseo Santos
Dela Cruz, Nehemias Guadaupes
Dela Cruz, Plaridel Guzman
Dela Cruz, Ronnie Santos
Dela Helba, Artemio Martinez
Dela Peña, Danilo Ocenar
Dela Peña, Margarito Pestaño
Dela Rosa, Bernardo Villafuerte
Dela Rosa, Ma. Celita Arre
Dela Seda, Ariel Esterado
Dela Torre, Edicio GanHe was ordained a Catholic priest in 1968. Worked with farmers fighting for land reform and social justice. He later joined the underground resistance against the Marcos martial law.
Dela Torre, Luisito Gonzales
Delaganar Jr., Eleazar Diaron
Delalamon, Roberto Basilios
Delamida, Juanito Paciente
Delfin, Roberto Sevillano
Delfin, Virgilio De Leon
Delica , Delfin Gutierrez
Delica, Mario Gutierrez
Delmundo, Rodolfo Acupan
Delos Angeles, Alexander Vellania
Delos Angeles, Gabriel Villaluz
Delos Reyes Sr., Juanito Campo
Delos Santos, Imelda Licay
Demigillo Jr., Eugenio Almendral
Derilo, Gil Fernando
Derla, Eduardo Enraca
Descartin, Joaquin  Butalon
Destura, Paterno Detablan
Devaras, Manolito Verecio
Diacamus, Lydia Parba
Diaz, Alberto Jimenez
Diaz, Edmundo Matinong
Diaz, Erwin Tan
Diaz, Fabian Vigonte
Diaz, Ruben  Roca
Diel, David Jav
Diel, Judy Rita Montelibano
Diga, Raul Pardillo
Dimacutac, Freddie Pecayco
Dimalaluan , Leopoldo  Cadiao
Dimasuhid, Elena Cabusas
Dimatulac, Manuel Baking
Dingcong, Romulus Binigay
Diosma, Melecio Borbon
Dipatuan, Ali Mangidia
Diquito, Tomas Gonzaga
Docot, Meliton Vitas
Dollente, Cirina Enguito
Doller, Constancio Mag Aso
Domingo, Amado Josef
Domingo, Romeo Bassig
Dompao, Andrew Balongay
Dongallo, Victorio Chu
Dorotan, Florencia Casanova
Doyo, Ma. Ceres Peralta
Dreu, Jaime Edma
Dueñas, Jaime Baguioro
Dugaduga Jr., Uldarico Gocor
Duhaylungsod, Loreto Caracol
Dula, Tomas Adarayan
Duldulao, Glenn Eugenio
Dumapias, Ariel Bolcan
Dungoc, Pedro Pais
Duran, George Rodriguez
Durante, Joselito Baring
Dy, Manuel Gementiza
Dy, Maximo Aguaviva
Ebao, Olimpio Iba
Ecal, Juanito Cuanico
Echanez, Noel Sabila
Echanis, Randall Barber
Ejanel Jr., Jose Moreno
Elarcosa, Emmanuel Villafañe
Elias, Gani Guiapar
Eliver, Herminigildo Arsaga
Embodo, Manuel Mambaling
Emperado, Rodello Diguit
Empeso, Eric Mojica  Eparua
Encinares, Silvestre Erlano
Encinas, Benito Calim
Encinas, Eddie Malagoplo
Encinas, Juana Estorninos
Enriquez , Kit Sombilla
Enriquez, Romeo Singson
Erno, Estrellita Marinay
Eruela, Rico Recosalem
Ervas, Ireneo Ermitaño
Escosia Jr., Pedro Delos Santos
Escreza, Ruben Acopio
Esguerra, Enrico Ferreros
Esguerra, Maxima Luneta
Esmile, Ismael Ancheta
Española, Romeo Velez
Espartero, Elizabeth Mahilom
Esperas, Adela Sia
Esperas, Nerio Agner
Esperon Sr., Romeo Curada
Espinas, Gerardo Berces
Espinas, Remegio Dusaran
Espinas, Reynaldo Dusaran
Espino, Bienvinido Sabusap
Estandarte, Vicente Delos Santos
Estaron, Jovencio Desoloc
Esteban, Wilfredo Almores
Estilloso, Angelino Javier
Estrabilla, Estanislao Turno
Estrada, Eduardo Suarez
Estrada, Elizabeth Silvestre
Estrada, Jerome Parayno
Estrañero, Amable  Naing
Estrera, Benjamin Donayre
Etabag, Milcah Acupan
Etabag, Noel Montesa
Eugenio, Narciso Dela Cruz
Eugenio, Rogelio Magno
Evasco Jr., Leoncio BadillaHe was Mayor of Maribojoc, Bohol from 2007 to 2016. He was an ordained priest in 1970, but later decided to live with the poor and fight for freedom during the Marcos martial law.
Extremadura, Raul Habana
Fababier, Fidel Hiloma
Fabic Jr., Geoffrey Flores
Fabic, Don Robert
Fabic, Judith Reyes
Fabila, Edison Rubino
Fabilane, Jose Cariso
Facun, Rhodello Pangilinan
Familara, Raymundo Zamora
Famor, Van Saavedra
Felipe, Victor Bulaong
Fernandez, Isagani Villaruel
Fernandez, Rosenda Espina
Fernandez, Ruth Escobia
Fernandez, Victor Apalisok
Fernando, Apolinario Necomidez
Ferrer Jr., Bienvenido  Santos
Ferrer, Marco Polo Cruz
Ferrer, Rogelio Sumabat
Figueras, Eduardo Francisco
Florendo, Rodolfo Miranda
Flores, Francisco Espina
Flores, Lucio Espina
Flores, Melvin Fevidal
Flores, Nonito Tanos
Forjes, Dionicio Javier
Formanes, Amancio Gajo
Fortes, Vivencio Griño
Frades, Salvador Fuentes
Francisco, Peligrin Salingsing
Fresa, Norberto Fusana
Fresnido, Domingo Gaviño
Fuentenegra, Eusebio Dela Piña
Fuentes, Carmelito Biadog
Fuga, Democrito  Gacos
Fulong, Eustaquio Frades
Fulong, Wilfren Ruiz
Fumar, Cecilio Cabasa
Funelas, Cresencio Encinares
Furio, Wilfredo Lava
Gabane, Edilberto Sabarre
Gabane, Pableto Fabrigar
Gabane, Vicente Labong
Gabiana, Pelagio Mabingnay
Gabionza, Crispin Espeña
Gabunada Jr., Nicanor Cejuela
Gacelo, Manuel Fulla
Gacuma, Apolonio Quitalig
Gacuma, Luciano Daz
Gacutara , Melecio Sr. Tepasi
Gaddi, Agapito Liwanag
Gala Jr., Felix Canton
Galabin, Manuel Nercua
Galagala, Casilda Galabo
Galang, Adriano Castro
Galang, Mario Mangila
Galarosa, Benjamin Furaque
Galarosa, Isidro Furaque
Galaura, Joseph Pelinio
Galay, Samuel Bacornay
Galdiano, Bonifacio Osico
Galindo, Maria Nancy Credo
Galindo, Severino Martin
Gallamaso, Domingo Gatab
Galura, Generoso Tolentino
Galut, Crispulo Bacud
Galvez, Zosimo Apura
Gamba , Narsaldo  Aroma
Gamboa, Gilbert Villagracia
Gamboa, Teodorico Villagracia
Garachico, Jose Ely Tagamolila
Garcia , Albert  Remulla
Garcia Iv, Hermenegildo Policarpio
Garcia, Alexander David
Garcia, Danilo Cabasbas
Garcia, Ester Albano
Garcia, Filemon Nacu
Garcia, Jerrold Jarder
Garcia, Milagros Astorga
Garcia, Peter Mendoza
Garcia, Ronilo Dioneda
Garcia, Vicente Rosales
Gardon, Antonio Simon
Gargarita, Lurina Unabia
Garlitos, Ernesto Antonio Alejandro
Garnande, Palermo Castel
Gaspar, Carlito Morante
Gatanela, Oscar Salilid
Gauran, Ceferino Grande
Gauran, Eleuterio Antonio
Gauzon, Zaric Baldomar
Gavino, Banizal Pongit
Gayog, Lolo Laman
Gazal, Paquito Sebua
Genavia, Melchor Gayanes
Geneblazo Jr., Canuto Pitallano
Genturales, Ray Joseph Padayhag
Geonzon, Angelina Orcullo
Geral Sr., Santos Regidor
Geral, Socorro Ordaneza
Gerardino, Efren Casidsid
Geronca, Rodolfo Escosia
Geronimo, Joseph Pineda
Gil, George Philip Padua
Gili, Jesus Fraeres
Giner Jr., Mariano Blancas
Ginete, Pancho Futalan
Giray, Ernesto Balanquit
Glorian, Jirry Gimeno
Glorioso, Eldifonso Labado
Gojar, Cesar Gracilla
Gonzaga , Victoriano  Tilmo
Gonzales Jr., Nicanor Rojas
Gonzales, Francisco Valino
Gonzales, Soe Roxas
Grabador, Arturo Gallor
Grajo, Wilfredo Hibe
Granada, Juanito Bueno
Gregorio, Jon An Mendez
Grita, Danilo Alegria
Gualberto Jr., Geminiano Amargo
Guazon Jr., Eduardo Delola
Guban, Ignacio Gracilla
Guidaben , Antonio Salarda
Guiloreza, Elias Alagban
Guiñabo, Wilfredo Deloso
Guinto, Teodoro Deldoc
Guites, Antonio Ramirez
Gumial, Lucino Antao
Gutib, Rene Bargamento
Gutierrez, Danilo Natividad
Guzman, Manuel Mario Dalupang
Haboc, William Venus
Hadap, Alfredo Hitosis
Hadji Ali Jr., Abdulwahab Lumbayo
Hagolino, Endrico Servilla
Hagupit, Ubaldo Aggot
Hainto, Jaime Lopez
Halcon, Pacifico Embile
Hapin, Carlito Enmil
He was Mayor of Maribojoc, Bohol from 2007 to 2016. He was an ordained priest in 1970, but later decided to live with the poor and fight for freedom during the Marcos martial law.
He was ordained a Catholic priest in 1968. Worked with farmers fighting for land reform and social justice. He later joined the underground resistance against the Marcos martial law.
Hermida, Antonio Adan
Herrera, Angelina Pacifico
Herrera, Jose Medel Pestillos
Hilao , Violeta  Sevandal
Hilario, Ernesto Mendinueto
Hizarsa, Abner Laysico
Hontimara, Victor Folguirinas
Huinda Jr., Sotero Concon
Huinda, Darius Concon
Hurtada, Abelardo Hallegado
Hurtada, Wilma Alvaran
Ibañez, Angelito Correa
Ibarra, Herminia Anastacio
Ida, Venerando Baguio
Ignacio, Avelino Hermosa
Ilag, Vivencio Aguilar
Ilagan, Cesar Velasquez
Ilagan, Isagani Ebreo
Ilao, Gerundio Panganoron
Ilustrisimo, Leopoldo Sesbrenño
Imperial, Daniel Lepio
Imperial, Felipe Juan Jacob
Inductivo, Romualdo Baldemosada
Ipong, Inocencio Tocmo
Isberto, Ester Ceniza
Isberto, Ramon Reinoso
Isturis, Lorna Estocado
Isunza, Victor Rubite
Jabon, Roberto Quilisadio
Jaen, Josil Pastolero
Jaleco, Larido Nobria
Jamero, Abundio Caduyac
Jamoralin, Reynaldo Tabuena
Janiva, Margarita Macairan
Jardin Jr., Anastacio Paguidopon
Javier, Arquilio Medriano
Javonillo, George Lardizabal
Jazmines, Alan Valera
Jimenez, Serrano Saquilabon
Jorque, Salvador Montelibano
Jose, Joel Ozarraga
Josol, Araceli Gamba
Juanites , Ernesto  Españalo
Juat, Alipio Tanap
Juatco, Teofilo Del Rosario
Jumamil, Elvira Mondigo
Karagdag, Amparo Palacol
Karagdag, Joel Palacol
Karagdag, Manuel Palacol
Katahum, Dionisio Flores
King, Alfonso Guan
Labado, Alexander Jacobe
Labial, Jemito Jorojoro
Lacaba Jr., Jose Flores
Lacaba, Alme Bardaje
Lacaba, Eulalia De Vera
Ladera, Rosita Bediasay
Ladera, Sonia Bediasay
Ladino, Salvador Ramirez
Ladlad, Vicente Portades
Lagaran, Joel Bugnos
Lagdaan , Danilo Laguidao
Lagrante, Alejandro Basadre
Lagrimas, Emerito Enriquito Sosing
Lagroma, Celestino Mirontos
Laguerta, Danilo Macasadia
Lagumbay, Segundina Nalam
Lahoz, Manuel Colet
Lamangan, Joel Cobarrubias
Lambo, Adrian Sales
Lapinid, Quirico Sato
Lapitan, Apolonio Lastimosa
Lardizabal Jr., Ricardo Fuentecilla
Lasac, Ruel Mandia
Latayada, Marionito Sandigan
Latorre, Anita Mabag
Laurel, Henry Ong Tiu
Laurel, Henson Tiu
Laurente, Bergido Salomen
Laurente, Narciso Calma
Laurente, Rodolfo Reyes
Laurito Jr., Simeon Oliverio
Lauzon, Adolfo Cantago
Laxamana, Conrado Lumanog
Lazaga, Eliseo Abanid
Lazarte, Rodolfo Buan
Lee, Claro Antonio  Palomares
Legaspi, Roberto Omboy
Legaspi, Rodolfo Pacaldo
Leones, Cesar Tongco
Leosala, Roland Marvilla
Liao, Antonio  Manlunas
Libangan, Virginia Cammagay
Ligcuban, Cesar Pajo
Lindahay, Bruno  Ayuma
Lingat, Eduardo Lingat
Liwag, Mario Mogenio
Llamzon , Ernesto  Sangalang
Lledo, Lolita Andrada
Lledo, Salvador Ymaysay
Llesis, Artemio Madilo
Llesis, Shirley Alcantara
Lloren, Nimfa Abaya
Lobito, Romana Napohyac
Lomugdang, Jaime Gregorio
Lopez Sr., Alfredo Soledad
Lopez, Consorcio Villacrusis
Lopez, Edwin Marthine De Ocampo
Lopez, Pepito Pamintuan
Lopez, Roel Apil
Loredo, Rolando Cruz
Lorenzo , Harold  Corros
Lorenzo, Adriano Corcino
Lorenzo, Medelie Diomedes Estavillo
Lorenzo, Mely Salaguinto
Lorenzo, Tranquilino Dancel
Lozada, Alfredo Huerta
Lozano, Camilo Rudio
Lozano, Paquito Lacsa
Lua, Daniel Quidato
Lucban, Probo Acebuche
Lucero, Alfredo Bartiquin
Lucero, Jose Garino
Lugasan, Roger Obin
Lumabi , Edilberto  Soliman
Lumabi, Domingo Bautista
Lumahang, Simplicio Maghanoy
Lumingkit, Eutiquio Lomonggo
Lumontad, Brigido Ombrero
Lunaria, Petronilo Monedero
Luneta, Domingo Macaraig
Luneta, Ernesto Macaraig
Luneta, Francisco Macaraig
Lurina, Cayetano Damian
Luza, Teofilo Monter
Mabag, Ambrocio Mabahin
Mabag, Ernesto Basada
Mabana, Tomas Zoilo Nantes
Mabansag, Miguel Abanag
Macabasag, Bangkit Mindaya
Macapundag, Curran Pangadapun
Macaraya, Mohamadali Ditocalan
Macase, Avelino Sabenorio
Maclang, Proceso  Makiling
Maestre, Benjamin Magsayo
Magadan, Marteciano Manguinimba
Magallanes, Reydante Fernando
Magcalas, Ernesto Calara
Magdami, Eduardo Alvarez
Magdami, Rufino Alvarez
Maglunsod, Joel Bucad
Magno, Rosauro Palada
Magsalay Jr., Yulofredo Hermocilla
Magtibay, Nestor Punongbayan
Mahinay, Edgardo Liop
Maingat, Amador Salonga
Mainit, Villar Pasaylo
Malabad, Ricardo Manigos
Malabanan, Emilio Magpantay
Malacapay, Inocencio Paguntalan
Malayang, Victoriano Perez
Malimbag, Danilo Castillo
Malinao, Romeo Palmon
Mallari, Danilo Tanjuakio
Mamañgun, Dominador Manabat
Manabat, Arcadio Dizon
Mañabo, Leonides Guzman
Managbanag, Joemarie Delos Santos
Manalang, Jesus Padilla
Manalo, Leonardo Mamangun
Manalo, Medel Masakayan
Manalo, Resurreccion Lao
Manansala, Carlos Saturnino
Manansala, Ma Louella Quiambao
Manaya, Bienvinido Hangad
Mandas, Antonio Tumanlas
Mangalindan, Pablo Garo
Mangkikis, Panfilo Antonio
Mangubat , Rogelio  Sinogaya
Manguilimotan, Gil Amante
Mangulabnan Jr., Amado Angelino
Mangurali, Simeon Rivera
Mansos, Alfredo Lita
Manulid, Carlos Garung
Mapano, Alfredo Amparo
Mappala, Ramon  Prado
Maquiran, Edgardo Ortega
Maranan, Teresita Nociete
Maravilla, Juanito Sapanza
Marcellones , Francisco  Lausa
Marcelo, Rolando Del Rosario
Marcelo, Sofronio Silva
Margate, Balbino Cabras
Mariano, Danilo Luis Macariola
Marohom, Acob Pangantaan
